user_id,steam_id,playtime_forever,playtime_2weeks,id,]playtime_2weeks
76561198072186059,76561198072186059,3,0,240,0
xfluttersx,76561198069920369,17,0,10,0
76561198068621601,76561198068621601,40,0,24240,0
76561198056290589,76561198056290589,1908,0,240,0
ii_voltage_ii,76561198075905679,6398,0,4000,0
76561198097762318,76561198097762318,1838,0,4000,0
Hirukaz,76561198061518530,2466,0,4000,0
StelerForYou,76561198066728567,445,0,240,0
76561198183396245,76561198183396245,307,0,4000,0
shinra420,76561198049648545,6864,0,240,0
Xx-Woods,76561198064054499,150,0,300,0
kevinator23,76561198064469140,1641,0,240,0
tonyballoney,76561198071836696,263,26,4000,26
76561198090715178,76561198090715178,9098,0,4000,0
Child_Vs_Puddle,76561198126693531,1084,1,4000,1
76561198073784601,76561198073784601,9129,98,4000,98
mimimomoma,76561198098305358,200,0,30,0
de_Butl3r,76561198092276029,8263,0,4000,0
76561198157999555,76561198157999555,488,0,4000,0
76561198027947401,76561198027947401,270,0,4000,0
76561198074200011,76561198074200011,258,83,326460,83
L1J1N,76561198059515552,88,0,4000,0
Lord_Exploit,76561198121529183,50,0,240,0
76561198079106676,76561198079106676,270,0,220,0
76561198092244787,76561198092244787,2617,0,4000,0
Sanctus94,76561198003388886,392,0,4000,0
76561197990792016,76561197990792016,12108,0,10,0
AVATAR715,76561198086661549,1159,0,300,0
76561198073987767,76561198073987767,196,0,4000,0
Fluxxyz,76561198175213762,3952,0,4000,0
76561198092150873,76561198092150873,5478,8,4000,8
YieuwMage,76561198168665156,2706,0,105600,0
Nfkted_CS,76561198071472087,1410,13,10,13
A-Very-Sly-Person,76561198078378562,3092,0,4000,0
76561197994493402,76561197994493402,1037,0,10,0
76561198065656175,76561198065656175,75,0,3910,0
76561198188979775,76561198188979775,2497,0,4000,0
97396295,76561198090575193,13226,0,550,0
xoFushiox,76561198080439887,4523,0,10,0
76561198126640317,76561198126640317,565,0,4000,0
DemonicWolvz,76561198083882871,3990,0,4000,0
DieMadchenschanderin,76561198010679125,194,0,1900,0
76561198072706529,76561198072706529,290,0,240,0
76561198215949741,76561198215949741,38830,1025,730,1025
GGargula,76561198086990597,408,0,220,0
Myther43,76561198081394779,50,0,10,0
getf0kinn0sc0pedm9,76561198085068505,19872,816,4000,816
76561198141443390,76561198141443390,36,0,4700,0
76561198031924053,76561198031924053,38991,0,22380,0
76561198097333029,76561198097333029,219,0,4000,0
whodafuqisthisguilao,76561198073910768,462,0,550,0
76561198072205329,76561198072205329,1321,0,4000,0
Icamebackbitches,76561198040729204,55,0,4000,0
Magjiikal,76561198042805870,212,0,240,0
ohnospaghet,76561198049699081,332,0,10,0
2768820078,76561198141694336,3370,0,4000,0
76561198049968536,76561198049968536,80,0,4000,0
76561198056392326,76561198056392326,356,0,29800,0
2d4nk4m3,76561198077997412,51,0,300,0
76561198074003102,76561198074003102,4100,0,240,0
exiaez,76561198069274972,8509,0,4000,0
BURNINGchicken3,76561198043909770,298,0,220,0
76561198066835162,76561198066835162,428,0,240,0
76561198069593452,76561198069593452,669,0,113400,0
undietaker,76561197997052702,2979,0,240,0
76561198095921854,76561198095921854,6460,287,4700,287
EizanAratoFujimaki,76561198160640899,1926,0,4000,0
POOTISSPENSOR,76561198067103238,128,0,50,0
angorabug,76561198081342211,14,0,4000,0
TeCool,76561198034252291,85,0,4000,0
ZyhgarThestarweaver,76561198067775813,4201,0,300,0
2xDelorean,76561198043816230,4037,0,4000,0
washington_,76561198044031549,33,0,70,0
76561198088944293,76561198088944293,1616,0,300,0
76561198061769804,76561198061769804,5,0,29800,0
76561198051258119,76561198051258119,1636,0,550,0
nubquake123,76561198053801332,1930,0,4000,0
Pyromanic,76561198059267109,94,0,240,0
76561198109656922,76561198109656922,25031,0,4000,0
76561198149432604,76561198149432604,6873,0,620,0
Unplanned_stategy,76561198031111554,14895,0,8930,0
CobRazor,76561198000290610,98685,128,4000,128
relesprit,76561198039196279,687,0,4000,0
76561198090294067,76561198090294067,720,0,4000,0
jimmyarcexd,76561198069329007,32,0,205790,0
talove112345,76561198068604808,9383,0,4000,0
76561198055094875,76561198055094875,6502,430,4000,430
WitchHunter4542,76561198049338296,1208,0,240,0
76561198203244300,76561198203244300,52344,1207,105600,1207
pwrt,76561198092377415,1365,0,4000,0
wantmahbody,76561198095435043,984,0,4000,0
76561198115868847,76561198115868847,5813,0,4700,0
benedictcuminherbatch,76561198047971656,3825,174,1250,174
76561198031207016,76561198031207016,2384,0,34030,0
76561198043458582,76561198043458582,15317,99,4000,99
smashiroshh,76561198140446256,1600,28,4000,28
shark854,76561198073360997,51,0,4000,0
76561198062876401,76561198062876401,361,0,220,0
76561198011661078,76561198011661078,46,0,10,0
PabloSanches,76561198047569011,95,0,70,0
killbunny38,76561198033203747,1832,0,4000,0
76561198047630659,76561198047630659,3343,0,240,0
76561198069713121,76561198069713121,6370,0,4000,0
1997-07-06_J077,76561198086801155,17149,0,4000,0
76561198076248461,76561198076248461,142,0,4000,0
1337lolroflmao,76561198058095161,3833,0,240,0
76561198080832419,76561198080832419,4048,0,105600,0
76561198151645088,76561198151645088,224,0,300,0
IAA_Recon_Dropbear,76561198007380166,54,0,220,0
goonbagger,76561198106147641,3715,0,4000,0
76561198060039459,76561198060039459,37,0,4000,0
OzfurAtlas,76561198049756768,9716,0,4000,0
76561198065593074,76561198065593074,64851,49,4000,49
madmax64,76561198086168469,21265,0,4000,0
76561198044169764,76561198044169764,84,0,300,0
euzi,76561198074141366,831,0,47870,0
lucasrash,76561198092019152,1464,26,4000,26
76561198082845362,76561198082845362,9628,0,730,0
76561198087767019,76561198087767019,2220,0,4000,0
thisissohardtomakeoneup,76561198045506359,21,0,4000,0
76561198087010391,76561198087010391,23435,56,4000,56
76561198061174192,76561198061174192,69,0,300,0
DoaFapbeforeaNap,76561198053143446,75,0,8500,0
ReMiXOfficalSteam,76561198069676842,43,0,240,0
Wilfire77,76561198036810834,165,0,240,0
76561198069159579,76561198069159579,148,0,205790,0
76561198086476445,76561198086476445,1082,0,240,0
76561198085016240,76561198085016240,954,0,240,0
76561198060808273,76561198060808273,9325,0,4000,0
76561198084390807,76561198084390807,1,0,10180,0
76561198003688205,76561198003688205,205234,418,10,418
Mastic,76561198070257177,339,0,70,0
Scooterinooo,76561198160377098,418,0,220,0
76561198028286104,76561198028286104,311,0,4000,0
76561198088447673,76561198088447673,1515,0,10,0
tarjla,76561198063067690,3229,0,240,0
deathnz1,76561197995287773,49,0,10,0
readingthis4noobs,76561198089643196,17240,213,4000,213
SonicMCGamer,76561198092383889,607,0,240,0
xXBoss1Xx,76561198286931078,864,23,104900,23
76561198084698198,76561198084698198,44302,0,4000,0
76561198104393251,76561198104393251,12880,372,4000,372
Borne901,76561198049508546,1352,0,10,0
76561198075322986,76561198075322986,22,0,11390,0
redsncrimson,76561198055786387,4333,0,4000,0
76561198151910904,76561198151910904,14,0,4760,0
H1DD3NT3RR0R,76561198066902183,327,0,220,0
76561198071214618,76561198071214618,685,0,240,0
76561198115115631,76561198115115631,527,0,240,0
sisiiik,76561198047046499,2233,0,6860,0
76561198071175142,76561198071175142,1440,751,4000,751
t8s,76561198191333731,67,0,10180,0
pikawuu2,76561198052736868,2711,0,4000,0
Sammeh00,76561198088147599,10499,0,4000,0
godlike_bot,76561198080807756,53,0,240,0
dpswaffles,76561198067512897,2947,0,4000,0
NoObFiGHtEr,76561198032786959,77,0,17300,0
76561198045754869,76561198045754869,375,0,240,0
76561198076098774,76561198076098774,412,0,240,0
76561198074963071,76561198074963071,55,55,4000,55
76561198048417105,76561198048417105,438,0,220,0
76561197989175394,76561197989175394,6964,0,240,0
76561198090842891,76561198090842891,14499,0,4000,0
76561198055767971,76561198055767971,2,0,240,0
76561197998052647,76561197998052647,2420,0,4000,0
76561198145436942,76561198145436942,10473,124,4000,124
3xotic26,76561198046015922,110,0,220,0
iamthetrashlord,76561198063595238,97,0,300,0
nothingheretrustme,76561198085452091,4296,0,4000,0
76561198071253729,76561198071253729,1118,0,4000,0
3dster,76561198064608459,198,0,4000,0
76561198041808338,76561198041808338,8103,0,4000,0
76561198016685643,76561198016685643,560,0,220,0
76561198079990063,76561198079990063,2,0,240,0
Forty-Nine,76561198087332642,8780,0,4000,0
76561198051017916,76561198051017916,412,0,400,0
L4M1NAS,76561198050176480,463,0,240,0
emurphy8,76561198057408937,219,0,4000,0
76561198096766604,76561198096766604,1800,40,4000,40
Sephirical,76561198042796550,26,0,4000,0
76561197995322437,76561197995322437,213,0,220,0
imsojipper,76561198070484359,16,0,300,0
76561198066840831,76561198066840831,12329,0,12210,0
76561198096220900,76561198096220900,402,0,4000,0
76561198084542731,76561198084542731,178,0,220,0
fullswag0to100realquick,76561198054734103,3395,0,240,0
76561198102121026,76561198102121026,37,0,338170,0
76561198103671881,76561198103671881,194,194,4000,194
mrpfresh,76561197974266367,148,0,10,0
GamerFag,76561198006592023,125,0,10,0
76561197970628046,76561197970628046,655,0,220,0
76561198013858002,76561198013858002,103,0,3910,0
76561198058570014,76561198058570014,2953,0,240,0
76561198045133986,76561198045133986,1297,0,220,0
76561198002820828,76561198002820828,5432,0,4000,0
hellcat59,76561198089539976,11658,120,4000,120
76561198007584361,76561198007584361,1041,0,4000,0
tbimperator,76561198061137771,303,0,3920,0
Allahu_Akbar666,76561198072341833,32709,0,4000,0
ulramite,76561198055973093,13,0,220,0
-GM-Dragon,76561197978442610,14,0,10,0
LeoRocksAce,76561198083940248,255,0,4000,0
76561198054040292,76561198054040292,6508,0,4000,0
76561198155458511,76561198155458511,21031,0,4000,0
I_DID_911_JUST_SAYING,76561198067520555,2349,87,4000,87
76561198077035732,76561198077035732,2078,0,105600,0
76561198072625764,76561198072625764,163,0,4000,0
A_Je_100,76561198070273727,37608,992,105600,992
imagoatieatpoo,76561198050771457,2031,0,17390,0
750805,76561198095708135,176,0,15700,0
76561198080881726,76561198080881726,155,0,4000,0
Thatishayden,76561198055320702,252,0,240,0
Flabbernackle,76561198063584783,1826,0,4000,0
diabeticfuck,76561198072918306,5,0,300,0
76561197962104795,76561197962104795,164,0,10,0
76561198054465623,76561198054465623,7556,17,4000,17
76561198074257942,76561198074257942,39,0,1520,0
aaropro,76561198084687167,4239,0,4000,0
Aaron_ggf,76561197975146915,1,0,10,0
abiam,76561198057005123,453,0,4000,0
76561198037346576,76561198037346576,375,0,22330,0
FrankoWalker,76561198119635144,326,0,4000,0
LightfootSword7,76561198052108889,25,0,20,0
DaDanMan,76561198044300314,610,0,4000,0
SALTTHEW0UND,76561198087436922,6404,0,4000,0
express157,76561198065500375,243,0,220,0
76561198074644990,76561198074644990,921,0,240,0
76561198064304806,76561198064304806,2172,0,4000,0
3456457568,76561198069126647,1465,0,240,0
TomoeMamiewe,76561198044661522,956,0,4000,0
76561198057086148,76561198057086148,35848,222,4000,222
Acidius99,76561198103673180,325,0,4000,0
76561198067150343,76561198067150343,741,0,4000,0
acorn13,76561198001612399,1050,0,240,0
adamcookie,76561198049455674,19,0,240,0
AddzyTheBaddzy,76561198091378873,20,0,320,0
76561197997824340,76561197997824340,119,0,2400,0
76561198076154360,76561198076154360,714,0,4000,0
76561198055524901,76561198055524901,792,0,550,0
mradobe7,76561198060344583,109,0,220,0
76561198167207237,76561198167207237,25766,165,4000,165
matto1499,76561198050553065,419,0,240,0
76561198073508075,76561198073508075,9730,0,4000,0
76561198090899557,76561198090899557,1503,0,4000,0
76561198072468669,76561198072468669,1004,0,550,0
Advancebest,76561198053319942,354,0,240,0
advenger95,76561198029864696,339,0,70,0
EndAtHallow,76561198055363234,25547,113,4000,113
76561198063624801,76561198063624801,2114,0,240,0
aeryal,76561198107138336,397,0,4000,0
vault_brothers,76561198170477598,1272,1,4000,1
After2night,76561198085732302,4666,0,4000,0
76561198029090446,76561198029090446,1947,0,220,0
76561197968819541,76561197968819541,233,0,10,0
76561198015968275,76561198015968275,772,0,4000,0
defender_10,76561198052049909,11788,42,4000,42
Agiegamma,76561198085624670,698,0,220,0
76561198082614708,76561198082614708,1166,1166,4000,1166
76561198066465411,76561198066465411,3274,0,4000,0
Agronoth,76561198054531989,1305,0,4000,0
UnholyFallenAngel,76561198097012821,5193,0,240,0
Ricardio556,76561198069056938,344,0,220,0
madgamerzzz,76561198047923966,14907,0,4000,0
76561198068565589,76561198068565589,32910,0,4000,0
SlutOnTheSpit,76561198031629115,533,0,4000,0
WestyGaming,76561198031955420,1934,0,10,0
NaruseAiria,76561198076727678,87,0,220,0
76561198265081359,76561198265081359,1441,84,105600,84
76561198046844795,76561198046844795,7174,0,240,0
76561198067713802,76561198067713802,12,0,320,0
76561198187212131,76561198187212131,20,0,4000,0
rjh91,76561198069258468,173,0,4000,0
alansiulun,76561198068368825,158,0,12120,0
Albolah,76561198127777505,889,0,4000,0
76561198063941075,76561198063941075,354,0,220,0
76561198056092813,76561198056092813,340,0,240,0
76561198095481910,76561198095481910,852,0,1250,0
76561198089024454,76561198089024454,23,0,240,0
76561198034129825,76561198034129825,2718,0,320,0
76561198164545985,76561198164545985,233,0,291210,0
tninjat,76561198060102025,218,0,240,0
76561198068935240,76561198068935240,4,0,6910,0
76561198036955150,76561198036955150,5324,0,240,0
AlkalineDeath,76561198040467599,458,0,2600,0
76561198075935236,76561198075935236,155,0,220,0
Jupeter117,76561198080703915,7747,0,4000,0
gsgg,76561198057524205,219,0,220,0
76561198075258452,76561198075258452,24,0,240,0
Jesusunholy,76561198062009245,81,0,4000,0
mintifreshbadger,76561198113948502,74,0,300,0
HenryCT,76561198048914936,47,0,253530,0
AlpacaRevolution,76561198064165439,724,0,4000,0
76561197996305896,76561197996305896,1388,0,4000,0
AlphaBryn444,76561198109133095,16518,0,4000,0
76561198009001563,76561198009001563,715,0,240,0
76561198016753953,76561198016753953,37212,0,4000,0
smegmyfoodle,76561198044281309,41,0,4000,0
altas2011,76561198127762021,1095,0,4000,0
silentbroadcaster,76561198047925260,1493,0,4000,0
76561198057869849,76561198057869849,539,0,240,0
lol_ursuchanoob,76561198055479817,1789,0,240,0
rhysf,76561198003694107,22786,0,240,0
76561198098156489,76561198098156489,1579,0,4000,0
76561198040021446,76561198040021446,1451,0,1250,0
76561198035890730,76561198035890730,4979,0,4000,0
AMV72,76561197971372464,20,0,10,0
76561198069170979,76561198069170979,59,0,240,0
76561198085956238,76561198085956238,87,0,70,0
76561198132540690,76561198132540690,70,0,2500,0
711armageddoncarmageddon,76561198087759807,245,0,240,0
76561198058301224,76561198058301224,22,0,1900,0
76561198034868596,76561198034868596,899,0,240,0
AncientBlade,76561198094461173,3774,0,17480,0
Andraison,76561198067449201,83,0,10,0
76561198048401235,76561198048401235,46,0,220,0
76561198026258913,76561198026258913,13718,0,4000,0
76561198069560699,76561198069560699,2,0,240,0
76561198099625419,76561198099625419,1057,0,220,0
someone6245,76561198013091048,1,0,70,0
76561198084032274,76561198084032274,26757,77,4000,77
76561198030772859,76561198030772859,15979,0,4000,0
Angrovar,76561198060146226,1160,0,4000,0
AngryAinsley,76561198131002806,160488,270,4000,270
76561198069005048,76561198069005048,253,0,1250,0
-AnimeIsMyThing-,76561198074664792,6119,0,240,0
uradumbtit,76561198064433302,133,0,70,0
76561198037038784,76561198037038784,1426,0,3830,0
IKillNoobsFirst,76561198046317409,1598,0,240,0
76561198037888300,76561198037888300,70,0,15620,0
operationblueberry,76561198080548524,747,0,4000,0
1234865654,76561198086384812,362,0,20,0
antacy,76561198091761253,102,0,4000,0
76561198034942509,76561198034942509,42,0,30,0
76561198032377745,76561198032377745,26884,0,4000,0
capitaomurilao,76561198053619146,3932,0,4000,0
Apachehavoc,76561198056692523,844,0,4000,0
ApexNZ,76561198075053271,4663,0,4000,0
76561198039441595,76561198039441595,2,0,10,0
76561198036687918,76561198036687918,1100,0,240,0
Apollopepsi,76561198070628567,11558,0,4000,0
benjamin27,76561198083557617,222,0,220,0
AppoGetsSuperAdmin,76561198052921535,72764,6083,4000,6083
ARRIVE,76561198107355391,39,0,4000,0
76561198071475367,76561198071475367,1345,0,4000,0
r3ap3r78,76561198011684252,5811,0,240,0
76561198065064829,76561198065064829,2381,0,10500,0
XABLAUziitu,76561198031162085,89,0,400,0
76561198012909706,76561198012909706,1525,0,220,0
aarcanicuss,76561198056946489,1173,0,47810,0
dragonchief,76561198011336251,3255,0,240,0
76561198040530605,76561198040530605,32358,0,4000,0
76561197974500703,76561197974500703,1791,0,220,0
76561198047185525,76561198047185525,924,0,240,0
mestuajix2,76561198097707197,304,0,43110,0
76561198067188826,76561198067188826,50,0,4000,0
ArcticTek,76561198061147800,96,0,240,0
sweep6060,76561198067808950,860,0,220,0
76561198088538797,76561198088538797,1168,45,240,45
76561198089844789,76561198089844789,258,0,240,0
76561198072861800,76561198072861800,244,0,4000,0
deployablearchnagel,76561198071483936,3535,2639,4700,2639
rotflmaoman,76561198045715119,136,0,1520,0
76561198088670023,76561198088670023,108,0,240,0
76561198081028176,76561198081028176,1286,0,3830,0
ArmouredForBattle,76561198325896496,283,283,108800,283
armouredmarshmallow,76561198104386187,36243,54,4000,54
darrenfordfalcon,76561198057323866,5311,367,4000,367
76561198020928326,76561198020928326,5599,0,70,0
76561198045570160,76561198045570160,8029,0,4000,0
arockstar28,76561198083884120,7309,0,4000,0
Array71,76561198039667033,141,0,240,0
76561198039874575,76561198039874575,39802,0,4000,0
arronlim13,76561198089824807,1,0,320,0
artej96,76561198102226879,84,0,4000,0
ARTHERDUNGER10,76561198066630066,210,0,300,0
Mackus1011,76561198074783119,823,0,240,0
76561198041877981,76561198041877981,8084,0,4000,0
ARZARNAR,76561198059173677,471,175,300,175
76561198089950447,76561198089950447,6074,0,4000,0
asianturtlefrenzy,76561198100436187,261,0,4000,0
Edmund28,76561198063903340,2179,0,4000,0
blowjobsfurdayzandgayz,76561198090520850,4863,420,4000,420
76561198082992295,76561198082992295,3625,0,4000,0
LaLocaDeLosDulces,76561198027993240,47719,330,10,330
76561198096064761,76561198096064761,41054,749,105600,749
76561198064352761,76561198064352761,604,0,4000,0
assassin_warman,76561198027176626,834,0,220,0
76561198019431054,76561198019431054,8,0,4560,0
Astrelt,76561198056770012,1,0,240,0
bobjimmy007,76561198078867478,184,0,1670,0
76561198091740831,76561198091740831,13047,61,4000,61
76561198095380303,76561198095380303,7,0,9760,0
76561198052003136,76561198052003136,265,0,4760,0
Swish0009,76561198044571371,1366,0,240,0
Aurora99,76561198060037470,1170,0,4000,0
76561198053071988,76561198053071988,224,0,3920,0
minionking,76561198049650023,610,92,4000,92
76561198083375450,76561198083375450,18,0,1700,0
76561198076984454,76561198076984454,32,0,4000,0
76561198091054851,76561198091054851,65,0,240,0
iDestrix,76561198096240087,7,0,10,0
auzmoz,76561197999326884,143168,1537,320,1537
76561198009353440,76561198009353440,340,0,300,0
76561198082020576,76561198082020576,99,0,220,0
fatrangacuntnolifevirgin,76561198088436468,456,0,4000,0
76561198080015704,76561198080015704,3722,0,4000,0
76561198040602004,76561198040602004,8574,0,240,0
76561198082959786,76561198082959786,213,0,31280,0
76561198064150679,76561198064150679,7099,0,240,0
76561198110293299,76561198110293299,3011,0,4000,0
de_triggered,76561198075881644,187008,5,4000,5
76561198071748311,76561198071748311,101,0,4000,0
azzydazzy,76561198048639345,2786,0,4000,0
76561198048900256,76561198048900256,6417,0,4000,0
-Azsael-,76561197997534851,1456,0,2100,0
76561198076301023,76561198076301023,942,0,4000,0
arewefaded,76561198038664557,2536,0,4000,0
76561198065247809,76561198065247809,1484,0,17300,0
76561198086081043,76561198086081043,905,0,240,0
hoarbiscuit,76561198064199288,724,0,10,0
bohgeraltofrivia,76561198045742150,9075,0,4000,0
TeH-B-Rad,76561198066255404,6640,0,4000,0
BAW_Killer,76561197962403792,46,0,10,0
gamerdude7892,76561198072107662,32,0,4000,0
76561197970168558,76561197970168558,43,0,10,0
timothyshen,76561198071797390,356,0,4000,0
76561198227794828,76561198227794828,361,0,4000,0
2ez4medick,76561198083985672,767,0,4000,0
76561198118595651,76561198118595651,850,0,4000,0
BBBirb,76561198107930572,147,1,240,1
AgentXiri,76561198044742654,50,0,107200,0
76561198018950738,76561198018950738,655,0,220,0
hamfritta,76561198004968304,1,0,3300,0
76561198064579722,76561198064579722,5897,329,4000,329
potatoskins,76561198043890597,32,0,4000,0
crispymemesmantheyremyfavourite,76561198091215848,3232,0,4000,0
76561198044593618,76561198044593618,14108,2619,550,2619
76561198074409406,76561198074409406,700,0,240,0
76561198049617612,76561198049617612,1,0,2600,0
H-Alo,76561198033993807,496,0,3920,0
76561198075444114,76561198075444114,164,0,240,0
420Blz,76561198005849033,412,0,240,0
76561198076548816,76561198076548816,7335,0,240,0
76561198075039895,76561198075039895,1186,0,4760,0
chillrend,76561198084316222,2369,0,4000,0
76561198218877443,76561198218877443,1811,0,273110,0
76561197994407780,76561197994407780,661,0,240,0
76561198035548591,76561198035548591,4439,0,4000,0
Gborges,76561198081021515,1431,0,4000,0
lukeyturley,76561198108641918,207,207,7940,207
SergeantBash111,76561198057711253,17583,30,4000,30
76561198071872532,76561198071872532,924,0,550,0
PolygonCloud,76561198089414638,3180,2,300,2
ZUERA12,76561198084280687,358,0,10,0
76561198043660058,76561198043660058,2732,0,4000,0
76561198095142204,76561198095142204,62,0,7000,0
BOB_200,76561198034974534,5171,58,4000,58
76561198070735033,76561198070735033,94,0,50,0
76561198018560501,76561198018560501,955,0,240,0
76561198010642927,76561198010642927,7775,49,4000,49
76561198051148175,76561198051148175,3028,0,4000,0
76561198047208452,76561198047208452,1756,0,4000,0
generalale,76561198035099927,8,0,320,0
76561198027831921,76561198027831921,58700,0,4000,0
brendoboy,76561198070081938,51495,0,4000,0
76561198071234254,76561198071234254,1236,0,4000,0
